Category,Disease,Ranked_Proteins
Eye,Macular_degeneration,"LMNB1, SRC, PSMA1, PNLIPRP2, GFAP, LYN, RUVBL1, TBL1X, CDKN1A, RAD51, SERPINE1, CA6, FOXO3, NCK2, SIRPA, SAP18, ITGB1, CHIT1, CDC27, NPHS2, VIM, SULT1A1, CA9, MAP2K6, TPMT"
Eye,Retinal_detachments_and_breaks,"PNLIPRP2, TBL1X, HMOX1, MYH9, SERPINE1, VIM, ECI2, BHLHE40, SRC, NBN, STXBP1, SMAD2, NPHS2, STAT5B, PSMD9, GSTA1, PDE5A, SCP2, CHIT1, VPS37A, NCK2, TIMM8A, IMMT, AGXT, TRDMT1"
Genitourinary,Acute_Kidney_Injury,"COL4A1, MSR1, PSMD1, PNLIPRP2, REN, KLK3, GSTA1, COL2A1, POLR2F, CYB5A, VWF, PSME1, VIM, NAMPT, GGT1, LMNB1, ACY1, FASLG, TBL1X, ITGA6, SERPINE1, PSMD9, CTSH, CHIT1, GSTP1"
Genitourinary,Chronic_Kidney_Disease,"PNLIPRP2, VIM, REN, VWF, MMP7, SRC, SERPINE2, PTPN6, COL6A3, SMAD2, COL1A1, PSMD5, STAT5B, PGA4, IGFBP1, TRDMT1, SMC3, APP, GCG, STK4, YAP1, SHC1, LMNB1, PSME1, LEFTY2"
Genitourinary,Female_genital_prolapse_filtered,"FXN, PNLIPRP2, VPS37A, POLR2F, TBL1X, FKBP1B, GRPEL1, PARK7, VIM, STAT5B, CHMP6, TPMT, RAD51, PDE5A, RNF5, APP, ANXA2, SAP18, SULT1A1, TPR, CHIT1, SERPINE1, NAMPT, BAG6, ATP5F1D"
Genitourinary,Hyperplasia_of_prostate_filtered,"KLK3, LEP, CDKN1A, GFAP, VPS37A, CHRDL1, TBL1X, SRC, APOE, PPP2R5A, BHLHE40, KLK1, GP2, FASLG, CA3, PRKAB1, PSMD9, PSME2, FABP1, RHOC, CASP3, FURIN, CALCA, SHC1, TMEM132A"
Genitourinary,Menorrhagia_and_polymenorrhoea_filtered,"CGA, SRC, TBL1X, PRL, PNLIPRP2, MMP10, FGF23, POLR2F, RUVBL1, ELN, COL9A1, EPO, GGT1, SMC3, PSME2, MYH9, GFAP, TRDMT1, SFTPD, F7, CA3, GCG, SERPINE1, STXBP1, STK4"
Genitourinary,Obstructive_and_reflux_uropathy,"SRC, GSTA1, CDKN1A, PSMD9, FGF21, VIM, FOXO3, PNLIPRP2, VPS37A, TBL1X, FABP1, VWF, CEACAM8, GH2, KIF22, PTPN6, SAP18, RPA2, TWF2, HRAS, GH1, PCNA, ARID4B, STXBP1, PLIN3"
Genitourinary,Postmenopausal_bleeding_filtered,"TBL1X, VWF, CHIT1, VIM, PTPN6, CDKN1A, SFTPA2, MYH9, TPMT, PARK7, NBN, LMNB1, ITGB1, COL9A1, COL2A1, PRKAB1, RAD51, PSMD9, HRAS, GUCY2C, ITGA2, HGS, LYN, NCK2, OGT"
Genitourinary,Urinary_Incontinence,"LEP, TBL1X, BHLHE40, KLK3, APP, NAMPT, NID2, CALCA, PLCB2, TOMM20, GGT1, SHC1, TPMT, MMP3, RPA2, CEACAM8, PSMD1, SERPINE1, NPHS2, PNLIPRP2, TIMM8A, LMNB1, F7, PSMD9, INPPL1"
Genitourinary,Urolithiasis,"TBL1X, PNLIPRP2, VIM, SERPINE1, SRC, BHLHE40, FGF21, MYH9, RAD51, VWF, IGFBP1, CDC27, KLK3, SMC3, PSMD1, HSPA2, GSTA1, LPL, HRAS, CDH15, CASP3, NPHS2, PSMD9, AGXT, CGA"
Haematological_or_immunological,Agranulocytosis,"VIM, LMNB1, PSMD1, PSMA1, RUVBL1, TBL1X, HSPA2, VWF, SMC3, MYH9, HBEGF, CHIT1, CA14, PTPN6, POLR2F, PNLIP, STK4, SDC4, SMAD2, SHC1, NBN, ATF2, FGF21, LEP, CEACAM6"
Haematological_or_immunological,Iron_deficiency_anaemia,"GAST, FGF23, TFRC, PNLIPRP2, HMOX1, VWF, EIF4G1, PSMD9, FABP1, TP53BP1, STAT5B, PSME1, EPO, SMAD3, LATS1, AKT2, TPR, SERPINE1, PDLIM5, IGFBP1, GPC5, PSMD5, GSTA1, HRAS, EREG"
Haematological_or_immunological,Other_anaemias,"HBEGF, EPO, LMNB1, GSTA1, TBL1X, SERPINE1, IGFBP1, VIM, COL4A1, FGF23, VAV3, EREG, HMOX1, PTPN6, PNLIPRP2, SKAP2, TNFRSF10A, PSMD5, REN, GAST, KLK3, CHIT1, EP300, NBN, YAP1"
Haematological_or_immunological,Secondary_or_other_Thrombocytopaenia,"LMNB1, SDC4, BGN, GRPEL1, FGF2, PSMD9, COL5A1, TBL1X, TPR, CDC27, CASP3, TOMM20, ATP6V1F, FKBP1B, VIM, AGXT, PPP2R5A, PSMD5, PARK7, GSTA1, GH2, TPMT, VWF, APP, TERF1"
Infections,Bacterial_Diseases,"TBL1X, FGF21, LYN, GSTA1, COL4A1, MYH9, SDC4, PNLIPRP2, FOXO3, GSTP1, VIM, ACY1, NBN, FABP1, COL1A1, PSMD9, STAT5B, IGFBP1, COL2A1, GGT1, ITGA6, SNCA, CA6, HRAS, GCG"
Infections,Ear_and_Upper_Respiratory_Tract_Infections,"PNLIPRP2, MYH9, TBL1X, SFTPD, SRC, MMP10, SCP2, LEP, PLIN3, TPR, COL2A1, TWF2, AKT2, FOXO3, ITGA6, PSMC3, SFTPA2, SMAD2, CSF2RA, IGFBP1, GSTA1, CABP2, GCG, CHIT1, HRAS"
