"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of response to stimulus","GO:0048584","false","0.000051911305416636336","4.2847380497550684","2320","51","21","20972","APOE,COL1A1,CTSH,DLG4,FGF21,GCG,HMOX1,KLK3,LEP,NAMPT,NBN,PARK7,RUVBL1,SERPINE1,SRC,STAT5B,TBL1X,TP53BP1,TPR,VAV3,YAP1"
"GO:BP","negative regulation of cellular process","GO:0048523","false","0.00007616301584295886","4.118255867433148","5510","51","32","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,CHMP6,COL1A1,CTSH,DLG4,GCG,GFAP,HMOX1,HSPA2,ITGA6,LEP,LMNB1,MYH9,NBN,NEFL,PARK7,SAP18,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,TPR,VIM,YAP1"
"GO:BP","multicellular organismal process","GO:0032501","false","0.00007980769380685502","4.097955238764619","7337","51","37","20972","APOA2,APOA4,APOE,ATF2,BCAN,CDH1,CDKN1A,COL1A1,COL4A1,CTSH,DLG4,FGF21,FLI1,GCG,GFAP,HMOX1,ITGA6,KLK3,LEP,MYH9,NBN,NEFL,PARK7,PDLIM5,RUVBL1,SERPINE1,SFTPD,SMC3,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,VAV3,VGF,VIM,YAP1"
"GO:BP","regulation of primary metabolic process","GO:0080090","false","0.0000908151403807471","4.04184174139445","5215","51","31","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,CHMP6,COL1A1,CTSH,FLI1,GCG,GFAP,HMOX1,ITGA6,LEP,MYH9,NAMPT,NBN,PARK7,RUVBL1,SAP18,SCP2,SERPINE1,SMC3,SRC,STAT5B,TBL1X,TP53BP1,TPR,VIM,YAP1"
"GO:BP","response to stimulus","GO:0050896","false","0.00009276072682358389","4.032635857120778","9051","51","41","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,CEACAM8,CHMP6,COL1A1,COL4A1,CTSH,DLG4,FGF21,GCG,GFAP,GGT1,HMOX1,HSPA2,ITGA6,KLK3,LEP,MYH9,NAMPT,NBN,NEFL,PARK7,PNLIPRP2,RUVBL1,SERPINE1,SFTPD,SMC3,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,TPR,VAV3,VGF,VIM,YAP1"
"GO:BP","positive regulation of macromolecule metabolic process","GO:0010604","false","0.00009440858668174489","4.024988503806728","3152","51","24","20972","APOA2,APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,FLI1,HMOX1,ITGA6,KLK3,LEP,MYH9,NAMPT,NBN,PARK7,RUVBL1,SERPINE1,SRC,STAT5B,TBL1X,TP53BP1,VIM,YAP1"
"GO:BP","intracellular protein localization","GO:0008104","false","0.00009467212622588972","4.023777869023937","2401","51","21","20972","APOE,ATF2,CDH1,CDKN1A,CHMP6,COL1A1,DLG4,GCG,GFAP,LEP,LMNB1,MYH9,NBN,PARK7,SCP2,SRC,STXBP1,TP53BP1,TPR,VGF,YAP1"
"GO:BP","immune system process","GO:0002376","false","0.00010790267380459988","3.9669677934617056","2913","51","23","20972","APOA2,APOA4,APOE,ATF2,CDKN1A,CEACAM8,CTSH,GGT1,HMOX1,ITGA6,KLK3,LEP,MYH9,NBN,PARK7,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TP53BP1,VAV3,VIM"
"GO:BP","positive regulation of gene expression","GO:0010628","false","0.00012985707188364808","3.8865343941562487","1184","51","15","20972","APOA2,ATF2,CTSH,HMOX1,KLK3,LEP,MYH9,NAMPT,PARK7,SERPINE1,SRC,STAT5B,TP53BP1,VIM,YAP1"
"GO:BP","positive regulation of cell communication","GO:0010647","false","0.00013934724236922843","3.8559016213940027","1778","51","18","20972","APOE,COL1A1,CTSH,DLG4,FGF21,GCG,GFAP,HMOX1,LEP,NAMPT,PARK7,RUVBL1,SRC,STXBP1,TBL1X,TPR,VAV3,YAP1"
